Category,Subcategory,Region,State,Date,Product Name,Product ID,Sales,Profit,Discount,Size,Available Quantity,Sold Quantity,Color
Accessories,Umbrellas,South,California,2022-11-29,Accessories Umbrellas,4272,478.96,129.32,25.63,XL,675,979,Yellow
Accessories,Keychains,East,Georgia,2022-04-11,Accessories Keychains,2668,122.23,18.29,9.71,S,514,818,Pink
Shoes,Tennis Shoes,East,Florida,2022-11-10,Shoes Tennis Shoes,7142,454.11,128.09,54.7,M,599,1053,Orange
Clothes,Hoodies,West,New York,2023-04-12,Clothes Hoodies,3414,431.94,89.42,35.07,M,544,832,Blue
Shoes,Basketball Shoes,South,Michigan,2022-05-05,Shoes Basketball Shoes,8311,407.3,86.45,24.44,S,573,871,Purple
Shoes,Running Shoes,West,Florida,2023-06-24,Shoes Running Shoes,6274,250.45,67.76,14.48,XL,691,1023,Green
Shoes,Cycling Shoes,West,Michigan,2023-10-19,Shoes Cycling Shoes,8011,196.83,26.75,28.44,S,660,1054,Black
Accessories,Socks,South,Texas,2022-07-12,Accessories Socks,9636,130.32,33.88,24.76,S,560,984,Green
Clothes,Skirts,East,North Carolina,2023-03-27,Clothes Skirts,1204,271.58,27.33,40.78,XL,536,954,Green
Clothes,Coats,East,North Carolina,2022-10-16,Clothes Coats,4895,280.87,43.07,52.16,L,616,839,Green
Clothes,Trousers,West,Georgia,2022-02-01,Clothes Trousers,6098,119.73,23.41,13.98,S,600,883,Pink
Clothes,Hoodies,West,Pennsylvania,2022-08-08,Clothes Hoodies,6462,347.82,98.75,22.1,M,524,993,Blue
Accessories,Keychains,North,Ohio,2022-04-03,Accessories Keychains,2994,275.69,54.78,42.92,XL,525,926,Pink
Accessories,Watches,North,Texas,2022-03-20,Accessories Watches,8575,77.28,13.7,7.26,M,590,1055,Red
Clothes,Hoodies,South,Florida,2023-04-03,Clothes Hoodies,4685,356.5,41.96,22.26,S,635,898,Red
Accessories,Necklaces,South,Illinois,2022-01-11,Accessories Necklaces,6958,165.43,24.4,13.4,XL,642,1035,Gray
Shoes,Skate Shoes,East,Michigan,2022-07-13,Shoes Skate Shoes,2279,318.0,81.92,35.12,XL,689,1012,Yellow
Accessories,Ties,West,North Carolina,2022-07-20,Accessories Ties,7563,218.39,59.03,12.44,M,692,832,Pink
Shoes,Flats,East,New York,2022-10-07,Shoes Flats,1274,439.66,58.35,81.38,M,697,857,Green
Accessories,Jewelry,West,Georgia,2022-08-26,Accessories Jewelry,4519,442.28,110.39,73.49,S,558,1010,Blue
Clothes,Hoodies,North,North Carolina,2023-07-18,Clothes Hoodies,2125,286.33,40.3,19.3,XL,510,927,Blue
Shoes,Loafers,West,Ohio,2023-03-29,Shoes Loafers,3515,143.48,41.04,9.77,L,586,800,Blue
Accessories,Socks,West,Pennsylvania,2022-08-28,Accessories Socks,6223,194.03,39.31,35.16,XL,620,1028,Green
Clothes,Pajamas,East,Texas,2022-08-13,Clothes Pajamas,7336,366.41,108.35,39.16,S,574,918,Gray
Clothes,Leggings,East,New York,2022-03-18,Clothes Leggings,1609,59.46,15.59,11.21,M,552,974,Red
Accessories,Wallets,North,Michigan,2023-08-19,Accessories Wallets,9968,17.49,5.14,2.73,S,669,991,Black
Clothes,Leggings,South,California,2022-05-26,Clothes Leggings,4178,493.38,50.4,54.57,M,526,935,Pink
Clothes,Coats,West,New York,2022-02-04,Clothes Coats,3349,112.99,29.18,8.1,M,622,836,Orange
Shoes,Golf Shoes,South,North Carolina,2023-05-03,Shoes Golf Shoes,4783,308.87,87.71,36.72,M,572,908,Red
Clothes,Pajamas,South,Georgia,2022-05-12,Clothes Pajamas,7235,387.06,78.9,74.83,L,700,1041,White
Shoes,Basketball Shoes,North,Ohio,2023-10-06,Shoes Basketball Shoes,5489,402.41,113.49,36.86,S,505,992,Red
Accessories,Hats,South,Michigan,2023-02-23,Accessories Hats,7264,362.53,96.86,50.75,XL,563,1067,Black
Clothes,Suits,East,Pennsylvania,2022-11-04,Clothes Suits,2223,90.5,15.03,13.4,XL,663,1007,Purple
Clothes,Skirts,South,Michigan,2022-08-26,Clothes Skirts,8317,219.91,48.01,34.9,XL,576,981,Red
Shoes,Sandals,West,North Carolina,2023-02-13,Shoes Sandals,7782,33.44,4.94,5.56,XL,605,965,Black
Clothes,Dresses,North,Texas,2023-11-02,Clothes Dresses,3537,453.35,66.91,22.85,M,552,977,Orange
Clothes,Skirts,North,Ohio,2023-06-08,Clothes Skirts,7215,234.13,39.83,19.27,XL,643,1000,Green
Shoes,Running Shoes,West,Ohio,2023-12-18,Shoes Running Shoes,7312,25.05,4.64,4.14,S,682,1049,Blue
Shoes,Cycling Shoes,West,Florida,2023-11-17,Shoes Cycling Shoes,1181,313.21,82.93,17.85,XL,520,1036,Purple
Accessories,Umbrellas,North,Illinois,2022-07-23,Accessories Umbrellas,4864,196.44,58.56,31.45,S,608,1003,Yellow
Clothes,Jeans,East,Florida,2022-04-02,Clothes Jeans,1549,346.5,100.97,31.3,L,583,816,Green
Accessories,Scarves,West,Illinois,2023-03-21,Accessories Scarves,1038,255.77,38.08,43.79,XL,696,997,Orange
Clothes,Pajamas,East,Michigan,2023-12-18,Clothes Pajamas,3829,283.64,40.72,41.2,L,678,979,Purple
Accessories,Sunglasses,South,Illinois,2023-05-21,Accessories Sunglasses,5317,223.99,56.69,41.34,XL,680,968,Blue
Clothes,Trousers,West,New York,2022-09-26,Clothes Trousers,9595,285.76,76.14,54.93,S,534,933,Orange
Accessories,Umbrellas,North,Florida,2022-07-14,Accessories Umbrellas,9638,440.11,96.29,58.44,L,522,845,Yellow
Clothes,Shirts,South,Texas,2023-06-14,Clothes Shirts,3242,84.02,14.71,11.98,XL,670,953,Red
Accessories,Necklaces,East,New York,2022-04-21,Accessories Necklaces,6384,124.12,13.04,10.35,M,553,849,Red
Shoes,Boots,South,Pennsylvania,2022-01-16,Shoes Boots,2913,293.44,62.04,34.96,S,583,998,Green
Shoes,Tennis Shoes,South,Pennsylvania,2023-06-13,Shoes Tennis Shoes,6714,417.72,46.92,82.95,XL,699,835,Purple
Shoes,Soccer Shoes,East,Texas,2022-08-29,Shoes Soccer Shoes,7042,81.88,21.54,13.91,M,589,1086,Purple
Shoes,Soccer Shoes,North,North Carolina,2022-12-15,Shoes Soccer Shoes,9552,226.6,45.22,30.41,S,564,1091,Pink
Clothes,Jeans,West,North Carolina,2022-04-09,Clothes Jeans,2263,250.32,62.69,17.8,L,520,1025,Green
Shoes,Flats,West,Georgia,2023-07-08,Shoes Flats,2983,467.88,134.67,62.19,L,669,842,Gray
Clothes,Jeans,North,Ohio,2023-11-19,Clothes Jeans,3857,338.1,83.72,65.98,XL,626,1009,Yellow
Accessories,Headbands,South,New York,2022-10-23,Accessories Headbands,1313,479.43,129.4,74.7,L,539,824,Yellow
Clothes,Jeans,North,California,2022-01-28,Clothes Jeans,8534,479.34,89.04,28.8,L,561,1099,Yellow
Accessories,Jewelry,West,Pennsylvania,2023-06-21,Accessories Jewelry,1333,113.1,14.96,16.08,XL,536,1019,White
Accessories,Wallets,South,Pennsylvania,2022-08-18,Accessories Wallets,5007,297.74,42.08,24.0,S,522,934,Gray
Clothes,Dresses,North,Georgia,2022-09-10,Clothes Dresses,8542,390.88,90.09,23.72,XL,548,874,Green
Shoes,Running Shoes,West,Georgia,2022-10-04,Shoes Running Shoes,6340,467.25,66.54,61.05,S,623,1027,Green
Shoes,Cycling Shoes,East,Florida,2023-05-26,Shoes Cycling Shoes,3236,153.91,45.35,14.04,XL,672,902,Pink
Accessories,Jewelry,South,Texas,2023-06-08,Accessories Jewelry,8518,337.23,91.6,19.5,M,619,1047,Purple
Clothes,Blouses,West,Illinois,2023-07-24,Clothes Blouses,6168,189.04,50.96,16.85,M,694,1099,Yellow
Clothes,Dresses,North,Ohio,2023-07-02,Clothes Dresses,7493,336.23,40.81,51.2,S,512,1031,Green
Clothes,Hoodies,East,Florida,2022-09-19,Clothes Hoodies,1655,84.24,11.52,12.81,S,684,869,Green
Accessories,Keychains,North,Illinois,2023-01-13,Accessories Keychains,6829,466.36,51.77,45.06,S,669,898,Purple
Clothes,Shirts,South,Florida,2022-04-01,Clothes Shirts,8750,162.97,34.74,32.48,XL,599,877,Pink
Accessories,Ties,West,Ohio,2022-07-18,Accessories Ties,9459,27.11,3.76,1.63,XL,573,848,Black
Shoes,Sneakers,West,Pennsylvania,2022-07-16,Shoes Sneakers,4478,227.05,51.4,35.19,XL,619,934,Blue
Shoes,Cycling Shoes,South,North Carolina,2022-07-19,Shoes Cycling Shoes,4463,325.82,94.35,29.91,M,503,822,Orange
Clothes,Blouses,West,Illinois,2022-03-26,Clothes Blouses,9274,344.13,60.2,50.54,M,643,1035,Red
Clothes,Dresses,North,Illinois,2023-03-20,Clothes Dresses,4345,411.74,64.36,34.74,S,660,1068,Purple
Accessories,Hats,North,Pennsylvania,2022-06-11,Accessories Hats,7723,221.98,66.32,18.02,L,604,992,Black
Accessories,Necklaces,East,Illinois,2023-01-24,Accessories Necklaces,5898,482.5,130.71,47.65,L,598,1011,Blue
Clothes,Jeans,East,Georgia,2023-03-06,Clothes Jeans,9703,355.63,93.63,45.01,XL,587,1019,Gray
Clothes,Sweaters,South,Ohio,2022-08-16,Clothes Sweaters,1633,166.61,25.72,15.64,M,695,976,Blue
Clothes,Underwear,North,Florida,2023-07-16,Clothes Underwear,6369,309.44,81.41,21.08,S,564,966,Black
Accessories,Keychains,West,Georgia,2023-12-20,Accessories Keychains,6279,21.35,4.06,1.75,S,589,833,Purple
Shoes,Heels,South,Ohio,2022-10-08,Shoes Heels,6378,289.79,32.49,17.53,L,570,920,Orange
Accessories,Scarves,North,Illinois,2023-04-20,Accessories Scarves,2711,307.92,40.8,60.86,XL,619,962,White
Accessories,Jewelry,North,Texas,2022-07-29,Accessories Jewelry,3809,490.11,106.48,63.43,S,633,817,Green
Accessories,Sunglasses,North,Georgia,2022-12-06,Accessories Sunglasses,2347,15.77,3.26,1.03,M,601,933,Orange
Accessories,Belts,North,New York,2023-10-22,Accessories Belts,9855,80.91,18.86,5.32,S,590,892,Yellow
Accessories,Wallets,West,Illinois,2022-03-05,Accessories Wallets,3481,97.88,26.93,18.95,L,582,803,Green
Accessories,Jewelry,West,Ohio,2023-12-12,Accessories Jewelry,2098,405.17,91.28,69.45,L,580,846,Red
Shoes,Basketball Shoes,North,Georgia,2023-08-17,Shoes Basketball Shoes,8378,134.4,14.36,19.93,M,576,1092,Green
Shoes,Heels,East,Florida,2022-09-20,Shoes Heels,5401,201.11,27.41,28.65,XL,648,1091,Green
Clothes,Trousers,North,Georgia,2023-01-12,Clothes Trousers,2611,211.94,24.66,39.61,L,677,939,Orange
Accessories,Belts,South,Georgia,2023-04-12,Accessories Belts,9686,448.29,64.29,65.69,L,559,857,White
Clothes,Jeans,West,New York,2022-02-24,Clothes Jeans,4358,359.28,51.55,63.83,S,635,1063,Gray
Accessories,Necklaces,South,Ohio,2022-04-09,Accessories Necklaces,8198,111.94,15.71,10.08,S,628,1079,Orange
Clothes,Skirts,East,New York,2023-08-07,Clothes Skirts,4496,419.22,119.94,22.5,L,576,1044,Orange
Shoes,Boots,South,Georgia,2022-08-17,Shoes Boots,2528,221.84,28.89,19.91,M,503,976,Green
Clothes,Blouses,North,Illinois,2023-03-16,Clothes Blouses,8926,10.06,2.07,0.51,M,610,1042,Yellow
Shoes,Golf Shoes,East,Pennsylvania,2022-12-14,Shoes Golf Shoes,7765,365.64,37.7,49.69,XL,614,977,Black
Shoes,Slippers,East,New York,2022-04-17,Shoes Slippers,9530,89.54,24.54,5.52,M,546,970,Purple
Clothes,Suits,West,New York,2022-05-21,Clothes Suits,8539,57.57,16.4,10.33,XL,576,856,Black
Accessories,Socks,West,California,2023-12-22,Accessories Socks,5255,478.16,137.52,85.15,L,609,1085,Yellow
Shoes,Loafers,East,New York,2022-09-03,Shoes Loafers,2619,13.8,3.27,0.77,S,561,888,Gray
Shoes,Golf Shoes,North,New York,2023-11-11,Shoes Golf Shoes,9596,289.16,45.39,18.68,XL,690,1050,Green
Accessories,Bags,East,Ohio,2022-04-30,Accessories Bags,1029,133.56,14.46,22.68,XL,571,1047,Pink
Clothes,Coats,East,New York,2022-12-27,Clothes Coats,4982,177.47,17.92,30.29,XL,511,1056,Blue
Clothes,Hoodies,West,Pennsylvania,2023-10-28,Clothes Hoodies,4401,23.89,3.27,3.42,L,688,936,Green
Clothes,Shirts,South,Ohio,2022-06-01,Clothes Shirts,9688,368.55,97.39,71.37,L,535,1047,Blue
Clothes,Sweaters,North,Michigan,2022-12-14,Clothes Sweaters,3653,101.16,19.43,18.77,L,540,1022,Red
Shoes,Golf Shoes,East,Georgia,2022-09-21,Shoes Golf Shoes,2960,398.69,52.01,42.14,L,655,950,Purple
Shoes,Slippers,East,Illinois,2022-10-31,Shoes Slippers,8175,239.14,43.77,44.85,S,689,856,White
Accessories,Jewelry,South,North Carolina,2022-07-16,Accessories Jewelry,3470,55.12,6.08,9.95,S,520,858,Green
Accessories,Necklaces,East,Georgia,2022-12-27,Accessories Necklaces,2363,197.97,25.42,17.0,M,602,1036,White
Shoes,Loafers,South,California,2023-10-15,Shoes Loafers,8588,43.39,12.08,5.56,M,621,1020,Blue
Clothes,Coats,North,New York,2022-06-29,Clothes Coats,2616,462.93,84.41,77.0,S,524,864,Orange
Clothes,Jeans,South,North Carolina,2022-04-26,Clothes Jeans,1787,482.66,132.45,31.26,M,543,980,Black
Shoes,Hiking Boots,South,Georgia,2023-05-11,Shoes Hiking Boots,9853,418.93,122.56,22.49,XL,650,835,White
Accessories,Socks,North,North Carolina,2023-02-14,Accessories Socks,6310,314.5,94.11,38.38,M,649,968,Purple
Accessories,Necklaces,West,California,2023-08-28,Accessories Necklaces,1383,108.17,13.13,19.28,L,657,868,Purple
Accessories,Jewelry,South,Texas,2023-02-16,Accessories Jewelry,6255,398.55,98.2,65.37,XL,543,933,Purple
Clothes,Coats,South,New York,2023-04-24,Clothes Coats,1586,410.42,86.26,37.87,XL,667,962,Blue
Clothes,Hoodies,East,Georgia,2023-04-18,Clothes Hoodies,9604,194.04,47.71,36.43,L,528,991,Red
Clothes,Skirts,North,Texas,2023-04-21,Clothes Skirts,2482,486.1,93.59,41.1,S,604,986,Red
Accessories,Scarves,West,Texas,2023-10-23,Accessories Scarves,1476,370.26,67.25,64.44,XL,501,830,Gray
Accessories,Gloves,North,Michigan,2023-06-29,Accessories Gloves,5538,306.95,31.31,22.11,XL,675,987,Purple
Accessories,Necklaces,South,Florida,2022-02-06,Accessories Necklaces,3385,169.05,30.6,20.32,L,633,967,Black
Shoes,Skate Shoes,South,Florida,2023-04-09,Shoes Skate Shoes,7843,395.97,89.45,61.61,S,544,952,Gray
Accessories,Scarves,East,Michigan,2022-03-09,Accessories Scarves,5607,137.4,30.03,11.7,L,502,1024,Black
Shoes,Tennis Shoes,West,Texas,2023-12-15,Shoes Tennis Shoes,2221,498.66,147.68,29.4,L,697,1098,White
Accessories,Headbands,East,Michigan,2022-12-11,Accessories Headbands,4955,92.66,13.84,9.95,XL,553,807,Red
Shoes,Tennis Shoes,West,North Carolina,2023-12-03,Shoes Tennis Shoes,7565,187.4,27.83,23.67,XL,654,997,Pink
Accessories,Headbands,South,New York,2023-11-22,Accessories Headbands,8918,69.31,13.74,8.28,M,563,895,Purple
Accessories,Hats,West,Illinois,2023-01-11,Accessories Hats,1156,72.87,20.95,6.8,L,642,939,Red
Clothes,Pajamas,West,Texas,2022-01-14,Clothes Pajamas,5616,116.9,18.82,21.13,S,614,1026,Purple
Clothes,Jeans,South,Pennsylvania,2023-02-10,Clothes Jeans,4694,244.99,51.8,47.92,L,672,924,Gray
Shoes,Slippers,South,Georgia,2023-01-24,Shoes Slippers,4808,498.38,125.44,88.24,S,602,1016,Orange
Shoes,Loafers,East,Florida,2023-12-09,Shoes Loafers,7142,232.04,54.6,40.61,XL,680,894,Orange
Shoes,Running Shoes,South,Michigan,2022-06-15,Shoes Running Shoes,9201,458.41,86.45,57.06,L,505,973,Red
Clothes,Hoodies,South,Illinois,2023-10-27,Clothes Hoodies,8465,493.67,147.8,46.36,L,650,914,Orange
Accessories,Jewelry,West,Florida,2022-09-26,Accessories Jewelry,8385,436.08,112.26,48.99,M,656,820,Green
Accessories,Jewelry,West,Michigan,2022-12-05,Accessories Jewelry,7074,47.27,8.58,2.7,M,684,1039,Orange
Clothes,Jackets,West,Ohio,2023-03-27,Clothes Jackets,2386,305.45,51.24,51.75,S,671,928,Yellow
Shoes,Soccer Shoes,East,California,2022-03-13,Shoes Soccer Shoes,1056,197.8,49.21,35.02,L,587,960,Pink
Shoes,Golf Shoes,West,Michigan,2022-02-16,Shoes Golf Shoes,4670,166.62,17.55,23.59,L,665,865,Purple
Accessories,Belts,South,Ohio,2022-09-20,Accessories Belts,1719,46.71,8.31,8.53,XL,614,890,Gray
Clothes,Underwear,East,Michigan,2022-11-28,Clothes Underwear,9562,144.01,26.95,16.76,M,637,800,White
Clothes,Pajamas,East,Texas,2023-11-28,Clothes Pajamas,6991,68.76,8.58,7.65,M,664,984,Pink
Accessories,Bags,West,Texas,2023-06-03,Accessories Bags,7825,479.07,105.97,63.64,XL,692,1054,Black
Accessories,Necklaces,East,Illinois,2023-05-18,Accessories Necklaces,6994,45.58,10.73,4.3,M,681,975,Gray
Clothes,Coats,East,Illinois,2023-08-17,Clothes Coats,6230,150.5,22.44,9.16,M,551,879,Purple
Shoes,Tennis Shoes,East,New York,2022-04-26,Shoes Tennis Shoes,1513,159.43,33.15,24.54,S,522,1035,Pink
Shoes,Heels,North,Pennsylvania,2022-10-08,Shoes Heels,7682,310.97,51.91,30.7,XL,513,1040,Gray
Shoes,Cycling Shoes,West,New York,2023-04-16,Shoes Cycling Shoes,2420,115.36,18.45,7.29,L,595,854,Pink
Accessories,Bags,South,Michigan,2022-10-13,Accessories Bags,9588,152.77,41.92,24.94,M,669,950,Yellow
Clothes,Trousers,North,Texas,2023-12-15,Clothes Trousers,4356,436.06,106.04,84.54,S,561,1057,Purple
Clothes,Trousers,East,Georgia,2023-02-13,Clothes Trousers,9136,327.29,58.53,59.25,L,647,812,Gray
Clothes,Coats,North,North Carolina,2023-10-06,Clothes Coats,5653,409.64,64.36,70.29,XL,619,949,Green
Shoes,Sneakers,North,Michigan,2023-03-04,Shoes Sneakers,5546,369.31,54.34,46.14,S,654,1085,Pink
Shoes,Soccer Shoes,East,Illinois,2023-02-17,Shoes Soccer Shoes,4805,311.46,33.94,47.82,XL,577,973,White
Shoes,Slippers,West,New York,2022-01-27,Shoes Slippers,8658,165.79,26.38,31.22,L,642,990,Purple
Shoes,Golf Shoes,West,California,2022-06-04,Shoes Golf Shoes,9483,185.9,50.24,29.14,XL,656,1099,White
Clothes,Shorts,East,Texas,2023-11-21,Clothes Shorts,9109,321.56,85.54,61.04,L,575,906,Purple
Shoes,Running Shoes,West,Georgia,2023-03-24,Shoes Running Shoes,2368,404.75,76.65,26.71,S,509,804,Gray
Shoes,Heels,West,New York,2023-05-04,Shoes Heels,2392,475.47,53.36,29.44,S,663,923,Blue
Clothes,Dresses,North,Illinois,2023-06-26,Clothes Dresses,7344,344.54,64.11,47.43,S,590,1017,Red
Shoes,Golf Shoes,North,Pennsylvania,2023-05-06,Shoes Golf Shoes,3189,407.9,58.08,78.04,L,506,1066,Purple
Shoes,Boots,North,Texas,2022-10-02,Shoes Boots,2479,385.04,99.19,46.41,XL,531,1086,Green
Shoes,Heels,East,Pennsylvania,2022-03-15,Shoes Heels,5338,130.1,33.81,9.75,L,558,1010,Red
Shoes,Slippers,South,Texas,2023-04-27,Shoes Slippers,7213,248.13,61.52,28.61,S,583,920,Orange
Shoes,Sneakers,South,Florida,2022-12-20,Shoes Sneakers,5623,273.34,32.37,45.61,L,699,989,Pink
Clothes,Blouses,South,Michigan,2023-11-29,Clothes Blouses,8520,397.85,62.03,78.51,S,573,1086,White
Accessories,Wallets,South,Ohio,2023-02-18,Accessories Wallets,4509,64.38,7.15,11.44,S,502,1002,Red
Clothes,Blouses,East,Ohio,2023-03-11,Clothes Blouses,7038,444.11,99.27,64.74,L,699,852,Black
Clothes,Skirts,North,Michigan,2022-11-06,Clothes Skirts,4643,436.08,115.77,39.71,XL,641,867,Pink
Clothes,Jackets,West,North Carolina,2022-05-01,Clothes Jackets,7656,107.4,19.66,5.99,XL,652,838,Purple
Shoes,Heels,East,Illinois,2022-03-10,Shoes Heels,6817,188.0,42.48,28.78,L,632,865,Purple
Accessories,Jewelry,South,Florida,2023-11-03,Accessories Jewelry,4833,204.77,22.05,21.27,L,579,962,Pink
Shoes,Basketball Shoes,West,North Carolina,2023-07-01,Shoes Basketball Shoes,8158,292.08,47.18,40.28,S,528,1014,Gray
Accessories,Necklaces,South,Ohio,2023-01-31,Accessories Necklaces,2806,464.66,84.49,51.1,M,563,896,Purple
Accessories,Headbands,West,Illinois,2022-02-23,Accessories Headbands,1395,360.61,41.26,20.26,M,596,936,Green
Clothes,Sweaters,North,Michigan,2023-08-11,Clothes Sweaters,8179,401.41,55.75,30.76,S,648,1014,Yellow
Accessories,Keychains,North,Ohio,2023-11-07,Accessories Keychains,6798,426.01,99.6,55.97,M,661,897,Green
Accessories,Wallets,South,Ohio,2022-04-13,Accessories Wallets,2372,229.96,50.88,23.83,L,621,930,Blue
Accessories,Bags,East,Florida,2022-10-19,Accessories Bags,2110,110.86,29.43,6.37,L,504,1003,Orange
Accessories,Ties,East,Pennsylvania,2023-12-09,Accessories Ties,4981,241.83,36.99,41.59,S,689,876,White
Clothes,Jackets,North,North Carolina,2022-07-24,Clothes Jackets,3668,51.24,8.47,4.65,S,592,837,White
Clothes,Skirts,West,Florida,2023-04-15,Clothes Skirts,5572,225.25,53.81,18.45,L,698,1014,Purple
Shoes,Running Shoes,North,Texas,2023-05-29,Shoes Running Shoes,7927,12.15,2.4,1.08,S,585,850,White
Shoes,Loafers,East,California,2022-10-24,Shoes Loafers,8165,280.33,34.41,53.49,XL,687,1019,Blue
Accessories,Gloves,West,North Carolina,2023-12-09,Accessories Gloves,4300,313.53,89.04,47.11,S,659,1058,Green
Accessories,Headbands,West,New York,2022-07-16,Accessories Headbands,2691,470.97,56.89,67.69,XL,512,1096,White
Clothes,Dresses,North,Pennsylvania,2023-06-16,Clothes Dresses,1951,390.83,107.59,67.29,XL,601,1045,Red
Clothes,Jeans,East,Florida,2022-09-26,Clothes Jeans,7831,349.26,41.99,69.02,L,523,925,Yellow
Accessories,Necklaces,East,Ohio,2022-07-06,Accessories Necklaces,6806,141.65,15.44,12.58,S,650,1098,Yellow
Shoes,Sandals,East,New York,2023-02-02,Shoes Sandals,4403,56.59,7.5,6.08,M,645,1026,Gray
Clothes,Sweaters,South,Florida,2022-04-23,Clothes Sweaters,3279,249.42,30.45,33.68,M,531,1097,Red
Clothes,Blouses,North,Michigan,2023-06-06,Clothes Blouses,3138,113.18,33.03,21.51,L,624,1051,Gray
Shoes,Tennis Shoes,North,Pennsylvania,2022-12-07,Shoes Tennis Shoes,6823,21.23,3.64,2.0,M,603,1097,Orange
Accessories,Sunglasses,South,Texas,2022-03-30,Accessories Sunglasses,3821,299.16,31.8,54.21,S,560,1023,Black
Shoes,Sneakers,West,Pennsylvania,2023-03-07,Shoes Sneakers,9217,108.36,13.11,16.32,M,579,1044,Yellow
Shoes,Skate Shoes,East,Michigan,2023-01-23,Shoes Skate Shoes,5717,343.61,81.49,63.14,XL,693,986,Orange
Shoes,Heels,South,Florida,2023-05-25,Shoes Heels,9621,331.22,71.79,42.03,L,594,892,Blue
Accessories,Ties,South,North Carolina,2022-09-04,Accessories Ties,2817,234.21,69.23,19.79,L,510,946,Blue
Clothes,Leggings,West,California,2022-09-06,Clothes Leggings,5699,277.19,30.95,31.88,S,676,1010,Red
Shoes,Sneakers,South,California,2022-11-13,Shoes Sneakers,1365,454.28,54.15,64.68,L,636,1009,Purple
Accessories,Jewelry,North,Texas,2023-10-19,Accessories Jewelry,2958,379.44,111.74,22.86,L,572,993,Black
Shoes,Tennis Shoes,West,Texas,2022-06-16,Shoes Tennis Shoes,6839,232.52,58.64,40.74,XL,557,848,Red
Shoes,Heels,East,North Carolina,2022-03-04,Shoes Heels,4448,247.98,44.6,42.74,XL,606,833,Green
Clothes,Dresses,North,Illinois,2023-03-03,Clothes Dresses,2657,44.95,10.45,5.56,XL,572,874,Green
Accessories,Scarves,East,New York,2022-09-08,Accessories Scarves,8778,149.24,41.57,13.05,S,573,944,Black
Shoes,Golf Shoes,East,Michigan,2023-10-20,Shoes Golf Shoes,3402,472.39,79.07,32.02,S,669,1088,Black
